Local;L Local en (m);surface en (m²);D en (m);H en (m);Amax en (m);Coef K de Local;Am en m2;Type de detecteur à prévo;L/2D;S/An;nbre de detecteurs à prévo
DIALYSE;12,5;60;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
ATTENTE /ACCUEIL;7,5;24;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SALLE DE PRIERE HOMMES;4,5;12;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SALLE DE PRIERE FEMME;4,5;12;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR VESTIAIRES PERSONNEL;15;38;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;2;1;2
COULOIR SANITAIRE ;11,5;27,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR RESTAURANT ;16,7;30;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;2;1;2
CUISINE ;6,6;20;6,7;h<12;80;0,6;48;DETECTEUR THERMIQUE;1;1;1
CUISINE ET RESTAURANT ;13,6;90;5,8;h<6;60;0,6;36;DETECTEUR THERMIQUE;2;3;3
SALLE A MANGER ;25,5;150;5,8;h<6;60;1;60;DETECTEUR OPTIQUE DE FUMEE;3;3;3
SAS RESTAURANT ;7;21;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU ASSISTANTE SOCIALE ;4,5;9,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU FACTURATION;5;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU DU BAF ;5;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SECRETAREAT ;4,5;9,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
HALL D'ENTREE;22;250;5,8;h<6;60;1;60;DETECTEUR OPTIQUE DE FUMEE;2;5;5
salle d'analyse;4,6;15;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
STOCKAGE ;4,5;12;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU BIOLOGISTE ;5,7;16;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CORELAB;13;40;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR ATTENTE ;5;8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
ATTENTE ;6;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
RECEPTION;5,4;12;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR ;15;36;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;2;1;2
CONSULTATION PEDIATRE ;5,2;15;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CONSULTATION OPHTALMO;5,2;15;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CONSULTATION MEDECIN ;5,2;15;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
EXPLORATION MEDECIN ;5,8;18;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU MEDECIN ;4,3;10;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SALLE DE SOIN ;4,3;10;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
EXPLORATION CHIRURGIE ;5,8;18;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CONSULTATION CHURIRCHIE ;5,2;15;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CONSULTATION TRAUMATO ;5,2;15;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CONSULTATION ORL ;5,2;15;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
